,filename,time,w_pre,w
177,MOD05_L2.A2014022.2105.061.2017308141026.hdf,20140222105,-9999.0,-9.999000474927016
178,MOD05_L2.A2014022.2245.061.2017308141125.hdf,20140222245,-9999.0,-9.999000474927016
179,MOD05_L2.A2014023.0020.061.2017308140004.hdf,20140230020,-9999.0,-9.999000474927016
180,MOD05_L2.A2014023.1205.061.2017308135704.hdf,20140231205,-9999.0,-9.999000474927016
181,MOD05_L2.A2014023.1340.061.2017308135718.hdf,20140231340,-9999.0,-9.999000474927016
182,MOD05_L2.A2014023.1520.061.2017308135713.hdf,20140231520,-9999.0,-9.999000474927016
183,MOD05_L2.A2014023.1655.061.2017308135948.hdf,20140231655,-9999.0,-9.999000474927016
184,MOD05_L2.A2014023.1835.061.2017308135517.hdf,20140231835,-9999.0,-9.999000474927016
185,MOD05_L2.A2014023.2010.061.2017308135559.hdf,20140232010,-9999.0,-9.999000474927016
186,MOD05_L2.A2014023.2150.061.2017308135830.hdf,20140232150,-9999.0,-9.999000474927016
187,MOD05_L2.A2014023.2325.061.2017308135711.hdf,20140232325,-9999.0,-9.999000474927016
188,MOD05_L2.A2014024.1245.061.2017308141404.hdf,20140241245,-9999.0,-9.999000474927016
189,MOD05_L2.A2014024.1425.061.2017308141426.hdf,20140241425,-9999.0,-9.999000474927016
190,MOD05_L2.A2014024.1600.061.2017308141521.hdf,20140241600,-9999.0,-9.999000474927016
191,MOD05_L2.A2014024.1740.061.2017308141535.hdf,20140241740,-9999.0,-9.999000474927016
192,MOD05_L2.A2014024.1915.061.2017308141622.hdf,20140241915,-9999.0,-9.999000474927016
193,MOD05_L2.A2014024.2055.061.2017308141608.hdf,20140242055,-9999.0,-9.999000474927016
194,MOD05_L2.A2014024.2230.061.2017308141635.hdf,20140242230,-9999.0,-9.999000474927016
195,MOD05_L2.A2014025.0010.061.2017308172816.hdf,20140250010,-9999.0,-9.999000474927016
196,MOD05_L2.A2014025.1150.061.2017308172947.hdf,20140251150,-9999.0,-9.999000474927016
197,MOD05_L2.A2014025.1330.061.2017308173048.hdf,20140251330,-9999.0,-9.999000474927016
198,MOD05_L2.A2014025.1505.061.2017308173131.hdf,20140251505,-9999.0,-9.999000474927016
199,MOD05_L2.A2014025.1645.061.2017308173222.hdf,20140251645,-9999.0,-9.999000474927016
200,MOD05_L2.A2014025.1820.061.2017308173220.hdf,20140251820,-9999.0,-9.999000474927016
201,MOD05_L2.A2014025.2000.061.2017308173210.hdf,20140252000,-9999.0,-9.999000474927016
202,MOD05_L2.A2014025.2135.061.2017308173416.hdf,20140252135,-9999.0,-9.999000474927016
203,MOD05_L2.A2014025.2315.061.2017308173504.hdf,20140252315,-9999.0,-9.999000474927016
204,MOD05_L2.A2014026.1235.061.2017308173508.hdf,20140261235,-9999.0,-9.999000474927016
205,MOD05_L2.A2014026.1410.061.2017308173401.hdf,20140261410,-9999.0,-9.999000474927016
206,MOD05_L2.A2014026.1550.061.2017308173628.hdf,20140261550,-9999.0,-9.999000474927016
207,MOD05_L2.A2014026.1725.061.2017308173448.hdf,20140261725,-9999.0,-9.999000474927016
208,MOD05_L2.A2014026.1905.061.2017308173432.hdf,20140261905,-9999.0,-9.999000474927016
